Issue Key,Issue Type,Status,Priority,Summary,Description,Component/s,Affects Version/s,Fix Version/s,Assignee,Reporter,Created,Updated,Resolved,Resolution,Labels,Story Points,Epic Link,Sprint,Module,Root Cause,Defect Category,Business Impact,Customer Impact
ECOM-1001,Bug,Closed,High,Search results not displaying for special characters,Users unable to search for products containing special characters like &amp; or quotes,Search Engine,v2.1.0,v2.1.3,john.doe,jane.smith,2024-01-15,2024-01-22,2024-01-22,Fixed,"search,critical",3,,SPRINT-45,Search for Products,Input Validation,Functional,High,Medium
ECOM-1002,Bug,Closed,Medium,Category page showing incorrect product count,Product count displayed in category header doesn't match actual products shown,Product Catalog,v2.0.5,v2.1.0,mike.johnson,sarah.wilson,2024-01-18,2024-01-25,2024-01-25,Fixed,"category,ui",2,,SPRINT-45,Browse Products by Category,Database Sync,Data Integrity,Medium,Low
ECOM-1003,Bug,Closed,Critical,Payment gateway timeout causing order failures,Payment processing fails due to gateway timeout after 30 seconds,Payment System,v2.1.1,v2.1.2,david.chen,admin.user,2024-01-20,2024-01-21,2024-01-21,Fixed,"payment,critical",5,EPIC-001,SPRINT-46,Checkout and Payment,Integration Issue,Critical,Critical,High
ECOM-1004,Bug,Closed,High,Add to cart button not responsive on mobile devices,Users on mobile devices unable to add items to cart - button not clickable,Mobile UI,v2.0.8,v2.1.0,lisa.taylor,mobile.tester,2024-01-22,2024-01-28,2024-01-28,Fixed,"mobile,cart",3,,SPRINT-46,Add Products to Cart,CSS Issue,UI/UX,High,High
ECOM-1005,Bug,Closed,Medium,Search suggestions showing irrelevant results,Auto-suggestions in search dropdown showing products from different categories,Search Engine,v2.1.0,v2.1.1,john.doe,jane.smith,2024-01-25,2024-02-01,2024-02-01,Fixed,"search,suggestions",2,,SPRINT-47,Search for Products,Algorithm Issue,Functional,Medium,Medium
ECOM-1006,Bug,Closed,Low,Category breadcrumb navigation not updating correctly,Breadcrumb trail not reflecting current category selection,Navigation System,v2.0.9,v2.1.1,mike.johnson,ui.designer,2024-01-28,2024-02-05,2024-02-05,Fixed,"navigation,ui",1,,SPRINT-47,Browse Products by Category,State Management,UI/UX,Low,Low
ECOM-1007,Bug,Closed,High,Shopping cart items disappearing after page refresh,Cart contents lost when user refreshes page or navigates away,Session Management,v2.1.0,v2.1.2,david.chen,customer.support,2024-02-01,2024-02-08,2024-02-08,Fixed,"cart,session",4,,SPRINT-48,Add Products to Cart,Session Issue,Critical,High,High
ECOM-1008,Bug,Closed,Critical,Credit card validation failing for valid cards,Valid credit card numbers being rejected during checkout process,Payment Validation,v2.1.2,v2.1.3,payment.team,finance.dept,2024-02-05,2024-02-06,2024-02-06,Fixed,"payment,validation",5,EPIC-001,SPRINT-48,Checkout and Payment,Validation Logic,Critical,Critical,Critical
ECOM-1009,Bug,Closed,Medium,Search performance degraded with large result sets,Search taking over 5 seconds when returning more than 1000 results,Search Engine,v2.1.1,v2.1.4,performance.team,john.doe,2024-02-08,2024-02-15,2024-02-15,Fixed,"search,performance",3,,SPRINT-49,Search for Products,Database Query,Performance,Medium,Medium
ECOM-1010,Bug,Closed,High,Multiple payment methods not displaying correctly,PayPal and other payment options not showing on checkout page,Payment UI,v2.1.2,v2.1.3,lisa.taylor,customer.support,2024-02-10,2024-02-17,2024-02-17,Fixed,"payment,ui",3,EPIC-001,SPRINT-49,Checkout and Payment,Configuration Issue,High,High,
ECOM-1011,Bug,Closed,Medium,Category filters not persisting during navigation,Applied filters reset when navigating between category pages,Filter System,v2.1.1,v2.1.3,mike.johnson,sarah.wilson,2024-02-12,2024-02-20,2024-02-20,Fixed,"category,filters",2,,SPRINT-50,Browse Products by Category,State Management,Functional,Medium,Medium
ECOM-1012,Bug,Closed,Low,Product images not loading in search results,Some product images show as broken links in search result listings,Image System,v2.1.0,v2.1.2,frontend.dev,qa.tester,2024-02-15,2024-02-25,2024-02-25,Fixed,"search,images",1,,SPRINT-50,Search for Products,Asset Loading,UI/UX,Low,Low
ECOM-1013,Bug,Closed,High,Cart quantity update not reflecting total price,Changing product quantity in cart doesn't update total price calculation,Cart Calculation,v2.1.3,v2.1.4,david.chen,customer.support,2024-02-18,2024-02-25,2024-02-25,Fixed,"cart,calculation",4,,SPRINT-51,Add Products to Cart,Business Logic,Functional,High,High
ECOM-1014,Bug,Closed,Critical,Payment confirmation page showing incorrect order details,Order confirmation displaying wrong product names and quantities,Order System,v2.1.3,v2.1.4,order.team,finance.dept,2024-02-20,2024-02-21,2024-02-21,Fixed,"payment,order",5,EPIC-001,SPRINT-51,Checkout and Payment,Data Mapping,Critical,Critical,Critical
ECOM-1015,Bug,Closed,Medium,Search autocomplete not working with fast typing,Search suggestions fail to appear when user types quickly,Search UI,v2.1.2,v2.1.4,john.doe,ui.designer,2024-02-22,2024-03-01,2024-03-01,Fixed,"search,autocomplete",2,,SPRINT-52,Search for Products,Event Handling,UI/UX,Medium,Low
ECOM-1016,Bug,Closed,High,Category page loading slowly with many products,Category pages with 500+ products taking over 10 seconds to load,Performance System,v2.1.2,v2.1.5,performance.team,mike.johnson,2024-02-25,2024-03-05,2024-03-05,Fixed,"category,performance",3,,SPRINT-52,Browse Products by Category,Database Query,Performance,Medium,Medium
ECOM-1017,Bug,Closed,Medium,Cart icon badge not updating immediately after adding items,Cart notification badge shows incorrect count after adding products,Cart UI,v2.1.3,v2.1.4,frontend.dev,qa.tester,2024-02-28,2024-03-08,2024-03-08,Fixed,"cart,ui",2,,SPRINT-53,Add Products to Cart,Event Handling,UI/UX,Low,Low
ECOM-1018,Bug,Closed,Critical,Payment processing hanging on successful transactions,Payment appears to hang even when transaction completes successfully,Payment Flow,v2.1.4,v2.1.5,payment.team,customer.support,2024-03-01,2024-03-02,2024-03-02,Fixed,"payment,flow",5,EPIC-001,SPRINT-53,Checkout and Payment,Async Processing,Critical,High,Critical
ECOM-1019,Bug,Closed,High,Search filters not working correctly with multiple selections,Applying multiple search filters shows no results even when products exist,Filter System,v2.1.4,v2.1.6,john.doe,sarah.wilson,2024-03-05,2024-03-12,2024-03-12,Fixed,"search,filters",3,,SPRINT-54,Search for Products,Logic Error,Functional,High,Medium
ECOM-1020,Bug,Closed,Medium,Category navigation menu disappearing on mobile,Category dropdown menu not visible on mobile devices in portrait mode,Mobile Navigation,v2.1.3,v2.1.5,lisa.taylor,mobile.tester,2024-03-08,2024-03-15,2024-03-15,Fixed,"category,mobile",2,,SPRINT-54,Browse Products by Category,CSS Issue,UI/UX,Medium,Medium
ECOM-1021,Bug,Closed,Low,Product quantity selector allowing negative values,Users can set negative quantities in cart quantity selector,Input Validation,v2.1.4,v2.1.6,frontend.dev,qa.tester,2024-03-10,2024-03-20,2024-03-20,Fixed,"cart,validation",1,,SPRINT-55,Add Products to Cart,Input Validation,Data Integrity,Low,Low
ECOM-1022,Bug,Closed,High,Order confirmation email not sent after payment,Customers not receiving confirmation emails after successful payment,Email System,v2.1.5,v2.1.6,backend.dev,customer.support,2024-03-12,2024-03-19,2024-03-19,Fixed,"payment,email",4,EPIC-001,SPRINT-55,Checkout and Payment,Integration Issue,High,High,
ECOM-1023,Bug,Closed,Medium,Search results pagination not working correctly,Page navigation in search results skipping pages or showing duplicates,Pagination System,v2.1.5,v2.1.7,john.doe,qa.tester,2024-03-15,2024-03-25,2024-03-25,Fixed,"search,pagination",2,,SPRINT-56,Search for Products,Logic Error,Functional,Medium,Low
ECOM-1024,Bug,Closed,High,Category page showing products from different categories,Products appearing in wrong category due to database inconsistency,Data Integrity,v2.1.4,v2.1.6,data.team,mike.johnson,2024-03-18,2024-03-25,2024-03-25,Fixed,"category,data",4,,SPRINT-56,Browse Products by Category,Database Issue,Data Integrity,High,Medium
ECOM-1025,Bug,Closed,Critical,Cart checkout button disabled for valid orders,Checkout button remains disabled even when cart contains valid items,Cart Logic,v2.1.6,v2.1.7,david.chen,customer.support,2024-03-20,2024-03-21,2024-03-21,Fixed,"cart,checkout",5,EPIC-001,SPRINT-57,Add Products to Cart,Business Logic,Critical,Critical,High
ECOM-1026,Bug,Closed,Medium,Payment error messages not user-friendly,Technical error codes shown to users instead of meaningful messages,Error Handling,v2.1.5,v2.1.7,ux.team,customer.support,2024-03-22,2024-03-30,2024-03-30,Fixed,"payment,ux",2,EPIC-001,SPRINT-57,Checkout and Payment,Error Handling,Medium,Medium,
ECOM-1027,Bug,Closed,Low,Search history not saving user searches,Previously searched terms not appearing in search history dropdown,Search History,v2.1.6,v2.1.8,john.doe,ui.designer,2024-03-25,2024-04-05,2024-04-05,Fixed,"search,history",1,,SPRINT-58,Search for Products,Storage Issue,Enhancement,Low,Low
ECOM-1028,Bug,Closed,High,Category breadcrumb links not working correctly,Clicking on breadcrumb category links leads to empty pages,Navigation System,v2.1.6,v2.1.8,mike.johnson,qa.tester,2024-03-28,2024-04-08,2024-04-08,Fixed,"category,navigation",3,,SPRINT-58,Browse Products by Category,Routing Issue,Functional,Medium,Medium
ECOM-1029,Bug,Closed,Medium,Cart persistence failing across browser sessions,Shopping cart contents not saved when user closes and reopens browser,Session Management,v2.1.7,v2.1.9,session.team,customer.support,2024-04-01,2024-04-10,2024-04-10,Fixed,"cart,session",3,,SPRINT-59,Add Products to Cart,Storage Issue,Functional,Medium,Medium
ECOM-1030,Bug,Closed,Critical,Payment gateway returning duplicate transaction IDs,Multiple orders created for single payment due to duplicate transaction handling,Payment System,v2.1.7,v2.1.8,payment.team,finance.dept,2024-04-05,2024-04-06,2024-04-06,Fixed,"payment,duplicate",5,EPIC-001,SPRINT-59,Checkout and Payment,Integration Issue,Critical,Critical,Critical
ECOM-1031,Bug,Open,High,Search results not updating after applying price filters,Search results remain unchanged when price range filters are applied,Filter System,v2.1.8,,john.doe,sarah.wilson,2024-08-15,2024-08-20,,,"search,filters,active",3,,SPRINT-85,Search for Products,Logic Error,Functional,High,Medium
ECOM-1032,Bug,In Progress,Medium,Category page showing wrong subcategory counts,Subcategory product counts don't match actual number of products,Data Display,v2.1.8,,mike.johnson,data.analyst,2024-08-18,2024-08-21,,,"category,count,active",2,,SPRINT-85,Browse Products by Category,Calculation Error,Data Integrity,Medium,Low
ECOM-1033,Bug,Open,Critical,Shopping cart total calculation incorrect with discounts,Cart total not properly calculating when discount codes are applied,Cart Calculation,v2.1.9,,david.chen,customer.support,2024-08-20,2024-08-21,,,"cart,discount,critical",5,EPIC-002,SPRINT-86,Add Products to Cart,Business Logic,Critical,High,High
ECOM-1034,Bug,To Do,High,Payment form validation allowing invalid card formats,Credit card form accepts clearly invalid card number formats,Input Validation,v2.1.9,,security.team,compliance.officer,2024-08-21,2024-08-21,,,"payment,security,validation",4,EPIC-002,SPRINT-86,Checkout and Payment,Validation Logic,High,Medium,Medium
ECOM-1035,Bug,Closed,High,Password reset failing on tablet devices,System fails to properly handle password reset failing on tablet devices. Multiple users have reported this issue across different browsers.,Login System,v2.1.3,v2.2.0,mike.johnson,product.manager,2024-07-07,2024-08-06,2024-08-06,Won't Fix,"""profile,login""",5,EPIC-004,SPRINT-3,User Account Management,Calculation Error,Functional,Medium,Medium
ECOM-1036,Bug,Resolved,Medium,Product count showing incorrect numbers with applied filters,Critical functionality broken for product count showing incorrect numbers with applied filters. This is causing customer complaints and potential revenue loss.,Data Display,v2.0.5,v2.1.0,john.doe,business.analyst,2024-04-23,2024-07-24,2024-07-24,Duplicate,"""ui,data""",3,,SPRINT-16,Browse Products by Category,Validation Logic,Functional,High,Critical
ECOM-1037,Bug,To Do,Critical,Wishlist privacy settings broken for out of stock items,Performance degradation noticed when wishlist privacy settings broken for out of stock items. Users are experiencing slow response times.,Wishlist Notifications,v2.0.5,,mobile.tester,jane.smith,2023-08-05,2024-12-15,,,"wishlist,wishlist,active""",8,,SPRINT-27,Wishlist and Favorites,Database Query,UI/UX,Critical,Medium
ECOM-1038,Bug,Resolved,Critical,Payment confirmation issues for subscription items,Critical functionality broken for payment confirmation issues for subscription items. This is causing customer complaints and potential revenue loss.,Email System,v2.1.5,v2.1.2,payment.team,mobile.tester,2023-06-10,2024-11-14,2024-11-14,Duplicate,"""email,security""",5,EPIC-006,SPRINT-13,Checkout and Payment,Logic Error,Critical,High,High
ECOM-1039,Bug,Reopened,High,Search filters not working properly with typos in query,Critical functionality broken for search filters not working properly with typos in query. This is causing customer complaints and potential revenue loss.,Filter System,v2.1.5,,data.team,ui.designer,2024-08-12,2024-08-29,,,"""autocomplete,autocomplete""",3,,SPRINT-87,Search for Products,Error Handling,Performance,Medium,Low
ECOM-1040,Bug,Resolved,High,Product recommendations failing for featured products,Critical functionality broken for product recommendations failing for featured products. This is causing customer complaints and potential revenue loss.,Product Display,v2.1.5,v2.1.9,session.team,finance.dept,2024-07-04,2024-09-13,2024-09-13,Fixed,"""reviews,reviews""",4,,SPRINT-52,Product Management,CSS Issue,Critical,Critical,Low
ECOM-1041,Bug,Resolved,High,Category navigation menu issues for specific brands,Critical functionality broken for category navigation menu issues for specific brands. This is causing customer complaints and potential revenue loss.,Data Display,v2.1.1,v2.2.0,order.team,customer.support,2024-03-30,2024-06-27,2024-06-27,Fixed,"""performance,ui""",4,,SPRINT-48,Browse Products by Category,Algorithm Issue,Enhancement,High,Medium
