Functional TC ID,Function Testcase name,Automation TC ID,Priority,Testcases summary,Component
TC001,Browse Products by Category,AUTO001,High,Verify categories are clearly listed on the homepage and product pages,Browse Products by Category
TC002,Select Category to View Products,AUTO002,High,Verify clicking a category displays only products within that category,Browse Products by Category
TC003,Navigate Subcategories,AUTO003,Medium,Verify subcategories are displayed and navigable,Browse Products by Category
TC004,Display Product Count in Categories,AUTO004,Medium,Verify the number of products in each category is shown,Browse Products by Category
TC005,Search Bar Availability,AUTO005,High,Verify search bar is available on all main pages,Search for Products
TC006,Search Products by Name,AUTO006,High,Verify search returns relevant products based on product name,Search for Products
TC007,Search Products by Keyword,AUTO007,High,Verify search returns relevant products based on entered keywords,Search for Products
TC008,No Search Results Message,AUTO008,Medium,Verify no results message is shown if nothing matches search criteria,Search for Products
TC009,Search Suggestions,AUTO009,Medium,Verify search suggestions are provided as the user types,Search for Products
TC010,Add to Cart Button Available,AUTO010,High,Verify each product page has an 'Add to Cart' button,Add Products to Cart
TC011,Add Single Product to Cart,AUTO011,High,Verify user can add a single product to shopping cart,Add Products to Cart
TC012,Cart Icon Updates,AUTO012,High,Verify cart icon updates with the number of items added,Add Products to Cart
TC013,Add Multiple Quantities,AUTO013,Medium,Verify user can add multiple quantities of the same product,Add Products to Cart
TC014,Add to Cart Confirmation,AUTO014,Medium,Verify confirmation message is shown after adding to cart,Add Products to Cart
TC015,Review Cart Before Checkout,AUTO015,High,Verify user can review cart and order summary before payment,Checkout and Payment
TC016,Multiple Payment Options Available,AUTO016,High,Verify multiple payment options are available (credit card PayPal etc),Checkout and Payment
TC017,Payment with Credit Card,AUTO017,High,Verify user can make payment using credit card,Checkout and Payment
TC018,Payment with PayPal,AUTO018,High,Verify user can make payment using PayPal,Checkout and Payment
TC019,Payment Confirmation,AUTO019,High,Verify user receives confirmation after successful payment,Checkout and Payment
TC020,Payment Error Handling,AUTO020,High,Verify error messages are shown for failed payments,Checkout and Payment
TC021,View Product Details,AUTO021,Medium,Verify user can view detailed product information,Browse Products by Category
TC022,Filter Products by Price,AUTO022,Medium,Verify user can filter products by price range,Browse Products by Category
TC023,Sort Products by Rating,AUTO023,Medium,Verify user can sort products by customer ratings,Browse Products by Category
TC024,Remove Product from Cart,AUTO024,Medium,Verify user can remove products from shopping cart,Add Products to Cart
TC025,Update Product Quantity in Cart,AUTO025,Medium,Verify user can update product quantities in cart,Add Products to Cart
TC026,View Cart Summary,AUTO026,Medium,Verify user can view cart summary with total price,Add Products to Cart
TC027,Search Performance,AUTO027,Medium,Verify search functionality performs within acceptable limits,Search for Products
TC028,Category Navigation Performance,AUTO028,Medium,Verify category browsing performs within acceptable limits,Browse Products by Category
TC029,Cart Persistence,AUTO029,Medium,Verify cart contents persist across user sessions,Add Products to Cart
TC030,Payment Security,AUTO030,High,Verify payment processing is secure and compliant,Checkout and Payment
TC031,User Registration,AUTO031,High,Verify user can create new account with valid details,User Management
TC032,User Login,AUTO032,High,Verify registered user can login with valid credentials,User Management
TC033,User Logout,AUTO033,Medium,Verify user can logout successfully,User Management
TC034,Password Reset,AUTO034,High,Verify user can reset forgotten password,User Management
TC035,Profile Update,AUTO035,Medium,Verify user can update profile information,User Management
TC036,Address Management,AUTO036,High,Verify user can add and manage shipping addresses,User Management
TC037,Order History,AUTO037,Medium,Verify user can view previous order history,User Management
TC038,Email Verification,AUTO038,High,Verify email verification process during registration,User Management
TC039,Account Deactivation,AUTO039,Low,Verify user can deactivate account,User Management
TC040,Password Change,AUTO040,Medium,Verify user can change password from profile,User Management
TC041,Social Media Login,AUTO041,Medium,Verify user can login using social media accounts,User Management
TC042,Guest Checkout,AUTO042,High,Verify guest users can checkout without registration,User Management
TC043,Wishlist Creation,AUTO043,Medium,Verify user can create and manage wishlist,Wishlist Management
TC044,Add Product to Wishlist,AUTO044,Medium,Verify user can add products to wishlist,Wishlist Management
TC045,Remove from Wishlist,AUTO045,Medium,Verify user can remove products from wishlist,Wishlist Management
TC046,Share Wishlist,AUTO046,Low,Verify user can share wishlist with others,Wishlist Management
TC047,Move Wishlist to Cart,AUTO047,Medium,Verify user can move wishlist items to cart,Wishlist Management
TC048,Wishlist Notifications,AUTO048,Low,Verify notifications for wishlist price changes,Wishlist Management
TC049,Multiple Wishlists,AUTO049,Low,Verify user can create multiple wishlists,Wishlist Management
TC050,Wishlist Privacy Settings,AUTO050,Low,Verify wishlist privacy controls,Wishlist Management
TC051,Product Image Display,AUTO051,Medium,Verify product images are displayed correctly,Product Management
TC052,Product Zoom Functionality,AUTO052,Medium,Verify product image zoom feature works,Product Management
TC053,Product Gallery Navigation,AUTO053,Medium,Verify navigation through product image gallery,Product Management
TC054,Product Reviews Display,AUTO054,Medium,Verify customer reviews are displayed for products,Product Management
TC055,Product Rating System,AUTO055,Medium,Verify product rating system functionality,Product Management
TC056,Product Availability Status,AUTO056,High,Verify product availability status is accurate,Product Management
TC057,Out of Stock Handling,AUTO057,High,Verify handling of out of stock products,Product Management
TC058,Product Variants Selection,AUTO058,High,Verify selection of product variants (size color etc),Product Management
